subject,experiment,condition,"goal (0 = none, 1 = easy, 2 = hard) ","feedback (0 = none, 1 = yes)","reward (0 = no, 1 = time, 2 = cash)"
845,1,Hard goal,2,0,0
846,1,Easy goal,1,0,0
847,1,No goal,0,0,0
848,1,Hard goal,2,0,0
849,1,Easy goal,1,0,0
850,1,No goal,0,0,0
851,1,Hard goal,2,0,0
852,1,Easy goal,1,0,0
853,1,No goal,0,0,0
854,1,Hard goal,2,0,0
855,1,Easy goal,1,0,0
856,1,No goal,0,0,0
857,1,Hard goal,2,0,0
858,1,Easy goal,1,0,0
859,1,No goal,0,0,0
860,1,No goal,0,0,0
861,1,Easy goal,1,0,0
862,1,No goal,0,0,0
863,1,Hard goal,2,0,0
864,1,Easy goal,1,0,0
865,1,No goal,0,0,0
866,1,Hard goal,2,0,0
867,1,Easy goal,1,0,0
868,1,No goal,0,0,0
869,1,Hard goal,2,0,0
870,1,Easy goal,1,0,0
871,1,No goal,0,0,0
872,1,Hard goal,2,0,0
874,1,No goal,0,0,0
875,1,Hard goal,2,0,0
876,1,Easy goal,1,0,0
877,1,No goal,0,0,0
878,1,Hard goal,2,0,0
879,1,Easy goal,1,0,0
880,1,No goal,0,0,0
881,1,Hard goal,2,0,0
882,1,Easy goal,1,0,0
883,1,No goal,0,0,0
884,1,Hard goal,2,0,0
885,1,Easy goal,1,0,0
886,1,Hard goal,2,0,0
887,1,No goal,0,0,0
888,1,Hard goal,2,0,0
889,1,Easy goal,1,0,0
890,1,No goal,0,0,0
891,1,Hard goal,2,0,0
892,1,Easy goal,1,0,0
893,1,No goal,0,0,0
894,1,Hard goal,2,0,0
895,1,Easy goal,1,0,0
896,1,No goal,0,0,0
897,1,Hard goal,2,0,0
898,1,Easy goal,1,0,0
899,1,No goal,0,0,0
900,1,Hard goal,2,0,0
901,1,Easy goal,1,0,0
902,1,No goal,0,0,0
903,1,Hard goal,2,0,0
904,1,Easy goal,1,0,0
905,1,No goal,0,0,0
906,1,Hard goal,2,0,0
907,1,Easy goal,1,0,0
908,1,No goal,0,0,0
909,1,Hard goal,2,0,0
910,1,Easy goal,1,0,0
911,1,No goal,0,0,0
912,1,Hard goal,2,0,0
913,1,Easy goal,1,0,0
914,1,No goal,0,0,0
915,1,Hard goal,2,0,0
916,1,Easy goal,1,0,0
917,1,No goal,0,0,0
918,1,Hard goal,2,0,0
919,1,Easy goal,1,0,0
920,1,No goal,0,0,0
921,1,Hard goal,2,0,0
922,1,Easy goal,1,0,0
923,1,No goal,0,0,0
924,1,Hard goal,2,0,0
925,1,Easy goal,1,0,0
926,1,No goal,0,0,0
927,1,Hard goal,2,0,0
928,1,Easy goal,1,0,0
929,1,No goal,0,0,0
930,1,Hard goal,2,0,0
931,1,Easy goal,1,0,0
932,1,No goal,0,0,0
933,1,Hard goal,2,0,0
934,1,Hard goal,2,0,0
935,1,No goal,0,0,0
936,1,Easy goal,1,0,0
937,1,Easy goal,1,0,0
938,1,No goal,0,0,0
939,1,Hard goal,2,0,0
940,1,Easy goal,1,0,0
941,1,No goal,0,0,0
942,1,Hard goal,2,0,0
943,1,Easy goal,1,0,0
944,1,No goal,0,0,0
945,1,Hard goal,2,0,0
946,1,Easy goal,1,0,0
947,1,No goal,0,0,0
948,1,Hard goal,2,0,0
949,1,Easy goal,1,0,0
951,2,goal + no feedback,2,0,0
953,2,no goal + no feedback,0,0,0
955,2,no goal + no feedback,0,0,0
957,2,goal + no feedback,2,0,0
959,2,no goal + no feedback,0,0,0
961,2,goal + no feedback,2,0,0
963,2,no goal + no feedback,0,0,0
965,2,goal + no feedback,2,0,0
969,2,goal + no feedback,2,0,0
971,2,no goal + no feedback,0,0,0
973,2,goal + no feedback,2,0,0
975,2,no goal + no feedback,0,0,0
977,2,goal + no feedback,2,0,0
979,2,no goal + no feedback,0,0,0
981,2,goal + no feedback,2,0,0
983,2,no goal + no feedback,0,0,0
985,2,goal + no feedback,2,0,0
987,2,no goal + no feedback,0,0,0
989,2,goal + no feedback,2,0,0
991,2,no goal + no feedback,0,0,0
993,2,goal + no feedback,2,0,0
995,2,no goal + no feedback,0,0,0
997,2,goal + no feedback,2,0,0
999,2,no goal + no feedback,0,0,0
1001,2,goal + no feedback,2,0,0
1003,2,no goal + no feedback,0,0,0
1005,2,goal + no feedback,2,0,0
1007,2,no goal + no feedback,0,0,0
1009,2,goal + no feedback,2,0,0
1013,2,goal + no feedback,2,0,0
1015,2,no goal + no feedback,0,0,0
1017,2,goal + no feedback,2,0,0
1019,2,no goal + no feedback,0,0,0
1020,2,goal + feedback,2,1,0
1021,2,goal + no feedback,2,0,0
1022,2,no goal + feedback,0,1,0
1023,2,no goal + no feedback,0,0,0
1024,2,goal + feedback,2,1,0
1025,2,goal + no feedback,2,0,0
1027,2,no goal + no feedback,0,0,0
1028,2,goal + feedback,2,1,0
1029,2,goal + no feedback,2,0,0
1030,2,no goal + feedback,0,1,0
1031,2,no goal + no feedback,0,0,0
1032,2,goal + feedback,2,1,0
1033,2,goal + no feedback,2,0,0
1034,2,no goal + feedback,0,1,0
1036,2,goal + feedback,2,1,0
1037,2,goal + no feedback,2,0,0
1038,2,no goal + feedback,0,1,0
1039,2,no goal + no feedback,0,0,0
1040,2,goal + feedback,2,1,0
1041,2,goal + no feedback,2,0,0
1042,2,no goal + feedback,0,1,0
1043,2,no goal + no feedback,0,0,0
1045,2,goal + no feedback,2,0,0
1046,2,no goal + feedback,0,1,0
1047,2,no goal + no feedback,0,0,0
1048,2,goal + feedback,2,1,0
1049,2,goal + no feedback,2,0,0
1050,2,no goal + feedback,0,1,0
1051,2,no goal + no feedback,0,0,0
1052,2,goal + feedback,2,1,0
1053,2,goal + no feedback,2,0,0
1054,2,no goal + feedback,0,1,0
1055,2,no goal + no feedback,0,0,0
1056,2,goal + feedback,2,1,0
1057,2,goal + no feedback,2,0,0
1058,2,no goal + feedback,0,1,0
1059,2,no goal + no feedback,0,0,0
1060,2,goal + feedback,2,1,0
1061,2,goal + no feedback,2,0,0
1062,2,goal + no feedback,2,0,0
1063,2,no goal + no feedback,0,0,0
1064,2,goal + feedback,2,1,0
1065,2,goal + no feedback,2,0,0
1066,2,no goal + feedback,0,1,0
1067,2,no goal + no feedback,0,0,0
1068,2,goal + feedback,2,1,0
1069,2,goal + no feedback,2,0,0
1070,2,no goal + feedback,0,1,0
1071,2,no goal + no feedback,0,0,0
1072,2,goal + feedback,2,1,0
1073,2,no goal + feedback,0,1,0
1074,2,no goal + feedback,0,1,0
1075,2,no goal + no feedback,0,0,0
1076,2,goal + feedback,2,1,0
1077,2,no goal + feedback,0,1,0
1078,2,goal + no feedback,2,0,0
1079,2,no goal + no feedback,0,0,0
1080,2,goal + feedback,2,1,0
1081,2,goal + no feedback,2,0,0
1082,2,no goal + feedback,0,1,0
1083,2,no goal + no feedback,0,0,0
1084,2,goal + feedback,2,1,0
1085,2,goal + no feedback,2,0,0
1086,2,no goal + feedback,0,1,0
1087,2,no goal + no feedback,0,0,0
1088,2,goal + feedback,2,1,0
1089,2,goal + no feedback,2,0,0
1090,2,no goal + feedback,0,1,0
1091,2,no goal + no feedback,0,0,0
1092,2,goal + feedback,2,1,0
1093,2,goal + no feedback,2,0,0
1094,2,no goal + feedback,0,1,0
1095,2,goal + feedback,2,1,0
1096,2,no goal + feedback,0,1,0
1097,2,goal + feedback,2,1,0
1098,2,no goal + feedback,0,1,0
1099,2,goal + feedback,2,1,0
1100,2,no goal + feedback,0,1,0
1101,2,goal + feedback,2,1,0
1102,2,no goal + feedback,0,1,0
1103,2,goal + feedback,2,1,0
